ID,Date,Item #,Description,Category,Qty,Retail,Subtotal,Discount
7462,2020-08-04,210000000000,26 X 1.50-1.75 (35) TUBE   ~,Labour,1,$7.00,$7.00,$0.00
7463,2020-08-04,210000000000," (Work order #1806, Item: Trek 520  Brown / 56cm / WTU061MW221D
New chain Install rim tape Install new pulley set

Called 08/04/20)",Quote,1,$0.00,$0.00,$0.00
7463,2020-08-04,210000002811,SRAM PC951 CHAIN 9SPD,Product,1,$30.00,$30.00,$0.00
7463,2020-08-04,210000003068,"Shimano, Ultegra RD-6800, Pulley Set, Y5YC98140",Product,1,$40.00,$40.00,$0.00
7463,2020-08-04,210000003238,Bar tape install,Product,1,$15.00,$15.00,$0.00
7464,2020-08-04,210000000000," (Work order #1781, Item: Wheel 
Rear wheel true

*rear hub was falling apart because improper nuts were used damaging cones and bearings*)",Quote,1,$0.00,$0.00,$0.00
7464,2020-08-04,210000000131,True Rear Wheel,Labour,1,$30.00,$30.00,$0.00
7464,2020-08-04,210000000000, (Service Rear Hub),Labour,1,$30.00,$30.00,$0.00
7464,2020-08-04,210000000000, (WHL MFG Axle),Labour,1,$15.00,$15.00,$0.00
7464,2020-08-04,210000000000, (WHL MFG Hub Bearings),Labour,2,$5.00,$10.00,$0.00
7465,2020-08-04,210000000088,Adjust Rear *V-Brake*,Labour,1,$10.00,$10.00,$0.00
7465,2020-08-04,210000002763,"49N STD 24 x 1.50-1.95"" S/V40",Product,2,$7.00,$14.00,$0.00
7465,2020-08-04,210000000125,Install Tube,Labour,2,$10.00,$20.00,$0.00
7466,2020-08-04,210000002967,49N STD 26 x 1.95-2.40 SV,Product,2,$7.00,$14.00,$0.00
7467,2020-08-04,210000000000," (Work order #1800, Item: Sekine Green
True Rear Wheel

Called 08/04/20 vm)",Quote,1,$0.00,$0.00,$0.00
7467,2020-08-04,210000002215,spoke,Product,2,$2.00,$4.00,$0.00
7467,2020-08-04,210000000131,True Rear Wheel,Labour,1,$30.00,$30.00,$0.00
7468,2020-08-04,210000002771,49N STD 700C x 23-28MM P/V48,Product,1,$7.00,$7.00,$0.00
7469,2020-08-04,210000000000,26 X 1.50-1.75 (35) TUBE   ~,Labour,1,$7.00,$7.00,$0.00
7469,2020-08-04,210000000125,Install Tube,Labour,1,$5.00,$5.00,$0.00
7470,2020-08-04,210000002733,RUBINO PRO SPEED 25-622 FOLD BLACK G2.0,Product,2,$40.00,$80.00,$0.00
7471,2020-08-04,210000000000," (Work order #1809, Item: Devinci Black
Rear flat, rear wheel also badly bent and fixed as good as possible)",Quote,1,$0.00,$0.00,$0.00
7471,2020-08-04,210000002769,49N STD 700C x 28-35MM S/V40,Product,1,$7.00,$7.00,$0.00
7473,2020-08-04,210000000000," (Work order #1786, Item: Trike in the box Cardboard color
Ready on 31/07 at 10:12 am
Build trike)",Quote,1,$0.00,$0.00,$0.00
7473,2020-08-04,210000000000, (Trike Build),Labour,1,$90.00,$90.00,$0.00
7474,2020-08-04,210000000231,JAG SPT CGX-SL BRK OUT 50M BLK,Product,3,$1.00,$3.00,$0.00
7475,2020-08-05,210000003125,VITAMIN B BLACK L/20.5,Product,1,$750.00,$750.00,$0.00
7477,2020-08-05,210000001890,700 X 28-35 PV(48) TUBE,Product,1,$8.00,$8.00,$0.00
7478,2020-08-05,210000000000, (Tighten Crank),Labour,1,$10.00,$10.00,$0.00
7479,2020-08-05,210000000000," (Work order #1767, Item: Mongoose Black
Silver tune repair rear flat)",Quote,1,$0.00,$0.00,$0.00
7479,2020-08-05,210000000363,SILVER TUNE UP,Labour,1,$70.00,$70.00,$0.00
7479,2020-08-05,210000000268,JAG SPT SLK SS SHFT SHIM,Product,1,$5.00,$5.00,$0.00
7479,2020-08-05,210000002942,JAG BASIC LEX SHFT OUT BLK,Product,1,$1.00,$1.00,$0.00
7479,2020-08-05,210000000000,26 X 1.50-1.75 (35) TUBE   ~,Labour,1,$7.00,$7.00,$0.00
7480,2020-08-05,210000000000, (16 x 1.7-2.1 sv tube),Labour,1,$7.00,$7.00,$0.00
7481,2020-08-05,210000000000," (Work order #1757, Item: Schwinn Purple/Wht
Adjust rear derailleur Noise coming from the pedals )",Quote,1,$0.00,$0.00,$0.00
7481,2020-08-05,210000002860,"Shimano, Tourney RD-TX800, Rear derailleur, 7-8sp., SGS",Product,1,$30.00,$30.00,$0.00
7481,2020-08-05,210000000000, (WHL MFG Bearings),Labour,2,$5.00,$10.00,$0.00
7481,2020-08-05,210000000000, (Service Bottom Bracket),Labour,1,$30.00,$30.00,$0.00
7481,2020-08-05,210000000099,Adjust Rear Derailleur,Labour,1,$15.00,$15.00,$0.00
7482,2020-08-05,210000000000," (Work order #1802, Item: Cannondale Grey
Repair broken spoke on rear wheel add new rack
)",Quote,1,$0.00,$0.00,$0.00
7482,2020-08-05,210000000183,TRANSIT TUBULAR RACK BLK,Product,1,$36.99,$36.99,$0.00
7482,2020-08-05,210000002215,spoke,Product,2,$2.00,$4.00,$0.00
7482,2020-08-05,210000000131,True Rear Wheel,Labour,1,$30.00,$30.00,$0.00
7483,2020-08-05,210000000000," (Work order #1804, Item: Rear Wheel 
True rear wheel *** SKIP THE LINE***)",Quote,1,$0.00,$0.00,$0.00
7483,2020-08-05,210000000000, (Skip the Line),Labour,1,$25.00,$25.00,$0.00
7483,2020-08-05,210000000131,True Rear Wheel,Labour,1,$30.00,$30.00,$0.00
7484,2020-08-05,210000002775,VEE FAT TUBE 26x4.25/4.8 SV40,Product,2,$20.00,$40.00,$0.00
7485,2020-08-05,210000000229,JAG MTN SPRT SLK SS BRK 100PCS,Product,2,$5.00,$10.00,$0.00
7485,2020-08-05,210000000334,SRAM 3.0 GRIPSHIFT 21SPD SET,Product,1,$32.99,$32.99,$0.00
7485,2020-08-05,210000002858,"Avid, SRAM, FR-5, Brake Levers, Pair, Black",Product,1,$28.00,$28.00,$0.00
7485,2020-08-05,210000003208,"Megasoft, Sport Gel, Saddle, 285 x 135mm, Men, Black",Product,1,$55.00,$55.00,$0.00
7485,2020-08-05,210000000231,JAG SPT CGX-SL BRK OUT 50M BLK,Product,10,$1.00,$10.00,$0.00
7486,2020-08-05,210000003038,CHARKRA CHILD MONSTERS S ORANGE,Product,1,$55.00,$55.00,$0.00
7487,2020-08-05,0,VITAMIN B RED L/20.5 (H19060051),Special Order,1,$750.00,$750.00,$0.00
7487,2020-08-05,210000003144,"OnGuard, Bulldog DT 8012, U-Lock, 13 mm x 115mm x 230mm / 10mm x 120cm (13mm x 4.5'' x 9'' / 10mm x 4')",Product,1,$60.00,$60.00,$6.00
7488,2020-08-05,210000003455,"EVO, Presta, Tube, Length: 48mm, 700C, 35-44C",Product,1,$9.00,$9.00,$0.00
7488,2020-08-05,210000001991,"EVO, Presta valve adapter",Product,1,$2.00,$2.00,$0.00
7489,2020-08-05,210000002773,"49N STD 29 x 1.95-2.40"" P/V48",Product,1,$10.00,$10.00,$0.00
7491,2020-08-05,210000001726,ZAFFIRO 30 C BLACK,Product,2,$30.00,$60.00,$0.00
7491,2020-08-05,210000000125,Install Tube,Labour,1,$5.00,$5.00,$0.00
7491,2020-08-05,210000001890,700 X 28-35 PV(48) TUBE,Product,1,$7.00,$7.00,$0.00
7492,2020-08-05,210000000000," (Work order #1763, Item: Devinci Hexx Grey/blue
warranty tune

Called 07/30/20)",Quote,1,$0.00,$0.00,$0.00
7492,2020-08-05,210000002852,"EVO, Power Guard, Fender, 700 x 32 to 40C, Black, Pair",Product,1,$52.00,$52.00,$0.00
7493,2020-08-05,210000003144,"OnGuard, Bulldog DT 8012, U-Lock, 13 mm x 115mm x 230mm / 10mm x 120cm (13mm x 4.5'' x 9'' / 10mm x 4')",Product,1,$60.00,$60.00,$0.00
7495,2020-08-05,210000000000," (Work order #1810, Item: Raleigh black
Silver tune (single speed) repair front flat check front brake *** SKIP THE LINE***)",Quote,1,$0.00,$0.00,$0.00
7495,2020-08-05,210000000000,SILVER TUNE UP (Single Speed),Labour,1,$45.00,$45.00,$0.00
7495,2020-08-05,210000000000, (Skip the Line),Labour,1,$25.00,$25.00,$0.00
7495,2020-08-05,210000001890,700 X 28-35 PV(48) TUBE,Product,1,$8.00,$8.00,$0.00
7496,2020-08-06,210000002871,"Evo, Round Monostay Adapter",Product,1,$8.00,$8.00,$0.00
7497,2020-08-06,210000000000," (Work order #1785, Item: CCM Vandal Blue
Fix loose rear hub make sure rear brakes don't rub)",Quote,1,$0.00,$0.00,$0.00
7497,2020-08-06,210000000000, (Tighten Rear Hub),Labour,1,$15.00,$15.00,$0.00
7497,2020-08-06,210000000088,Adjust Rear *V-Brake*,Labour,1,$10.00,$10.00,$0.00
7497,2020-08-06,210000000229,JAG MTN SPRT SLK SS BRK 100PCS,Product,1,$5.00,$5.00,$0.00
7497,2020-08-06,210000000231,JAG SPT CGX-SL BRK OUT 50M BLK,Product,3,$1.00,$3.00,$0.00
7498,2020-08-06,210000002789,TEKTRO C310 V-BRAKE SIL,Product,1,$15.00,$15.00,$0.00
7498,2020-08-06,210000001971,TEKTRO MD-M280 MECHANICAL DISK 160 FR,Product,1,$36.00,$36.00,$0.00
7499,2020-08-06,210000000000,26 X 1.50-1.75 (35) TUBE   ~,Labour,1,$7.00,$7.00,$0.00
7499,2020-08-06,210000000125,Install Tube,Labour,1,$10.00,$10.00,$0.00
7500,2020-08-06,210000000000," (Work order #1791, Item: Surface 604 Black
Silver tune)",Quote,1,$0.00,$0.00,$0.00
7500,2020-08-06,210000000363,SILVER TUNE UP,Labour,1,$70.00,$70.00,$0.00
7500,2020-08-06,210000002971,SERFAS HYBRID RX SADDLE-LYCRA,Product,1,$70.00,$70.00,$0.00
7501,2020-08-06,210000002971,SERFAS HYBRID RX SADDLE-LYCRA,Product,-1,$70.00,-$70.00,$0.00
7502,2020-08-06,210000000242,JAG MTN SPRT V-BRK PADS set,Product,1,$8.00,$8.00,$0.00
7503,2020-08-06,210000003455,"EVO, Presta, Tube, Length: 48mm, 700C, 35-44C",Product,1,$9.00,$9.00,$0.00
7503,2020-08-06,210000000125,Install Tube,Labour,1,$5.00,$5.00,$0.00
7504,2020-08-06,210000002804,SUNRACE BBS15 SQ TAP BB 68X122,Product,1,$25.00,$25.00,$0.00
7504,2020-08-06,210000000079,Install Sealed BB *Sealed Cartridge*,Labour,1,$10.00,$10.00,$0.00
7505,2020-08-06,210000000000," (Work order #1782, Item: Mongoose Black
Silver tune Brakes squealing install new seat Chain keeps falling off adjust gears)",Quote,1,$0.00,$0.00,$0.00
7505,2020-08-06,210000002971,SERFAS HYBRID RX SADDLE-LYCRA,Product,1,$70.00,$70.00,$0.00
7505,2020-08-06,210000000363,SILVER TUNE UP,Labour,1,$70.00,$70.00,$0.00
7505,2020-08-06,210000000268,JAG SPT SLK SS SHFT SHIM,Product,2,$5.00,$10.00,$0.00
7507,2020-08-07,210000000000," (Work order #1819, Item: GT Satin Black
Ready on 07/08 at 10:32 am
Warranty tune Pedals creak )",Quote,1,$0.00,$0.00,$0.00
7507,2020-08-07,210000000299,SUNRACE BBS15 SQ TAP BB 68X127,Product,1,$20.00,$20.00,$0.00
7508,2020-08-07,210000002764,"49N STD 24 x 1.95-2.40"" S/V40",Product,1,$7.00,$7.00,$0.00
7509,2020-08-07,210000000268,JAG SPT SLK SS SHFT SHIM,Product,1,$5.00,$5.00,$0.00
7509,2020-08-07,210000002942,JAG BASIC LEX SHFT OUT BLK,Product,3,$1.00,$3.00,$0.00
7510,2020-08-07,210000000000," (Work order #1667, Item: CCM Green
Replace brake pads

*canti pads out of stock, can not re-order, sanded down to improve braking power*
**needs two new wheels, left vm july 8th**)",Quote,1,$0.00,$0.00,$0.00
7510,2020-08-07,210000003240,"Wheel Shop, Alex DM18 Black/ Shimano Acera HB-T3000, Wheel, Front, 26'' / 559, Holes: 36, QR, 100mm, Rim",Product,1,$81.99,$81.99,$0.00
7510,2020-08-07,210000003241,"Wheel Shop, Alex DM18 Black/ Formula FM-31-QR, Wheel, Rear, 26'' / 559, Holes: 36, QR, 135mm, Rim, Freewheel",Product,1,$81.99,$81.99,$0.00
7511,2020-08-07,210000003208,"Megasoft, Sport Gel, Saddle, 285 x 135mm, Men, Black",Product,1,$55.00,$55.00,$0.00
7512,2020-08-07,210000002972,SERFAS RX CRUISER SADDLE-LYCRA,Product,1,$70.00,$70.00,$0.00
7513,2020-08-07,210000002110,TIRE SEALANT / 2 FL OZ,Product,1,$5.00,$5.00,$0.00
7513,2020-08-07,210000002109,RIM TAPE,Product,1,$5.00,$5.00,$0.00
7513,2020-08-07,210000000000, (Tubeless tire setup),Labour,2,$20.00,$40.00,$0.00
7514,2020-08-07,210000000000," (Work order #1759, Item: Norco Bushpilot Black
Silver tune Check over cranks and stem may need bearings

Called 08/01/20 vm)",Quote,1,$0.00,$0.00,$0.00
7514,2020-08-07,210000000363,SILVER TUNE UP,Labour,1,$70.00,$70.00,$0.00
7514,2020-08-07,210000000268,JAG SPT SLK SS SHFT SHIM,Product,1,$5.00,$5.00,$0.00
7514,2020-08-07,210000002942,JAG BASIC LEX SHFT OUT BLK,Product,4,$1.00,$4.00,$0.00
7514,2020-08-07,210000002826,ELEMENTS RG MEN'S,Product,1,$40.00,$40.00,$0.00
7515,2020-08-07,0,VITAMIN B RED L/20.5 (H19060034),Special Order,1,$750.00,$750.00,$0.00
7516,2020-08-08,210000003046,WALD CLIP-ON BASKET-REG,Product,1,$50.00,$50.00,$0.00
7517,2020-08-08,210000002460,Vintage Raliegh Sport 1969,Product,1,$300.00,$300.00,$0.00
7517,2020-08-08,210000002823,Serfas RX Cruiser Saddle Lycra,Product,1,$70.00,$70.00,$0.00
7517,2020-08-08,210000003047,WALD CLIP-ON BASKET-LARGE,Product,1,$55.00,$55.00,$0.00
7518,2020-08-08,210000002300,27.5 X 2.10-2.35 SV(35),Product,2,$9.00,$18.00,$0.00
7519,2020-08-08,210000000000," (Work order #1739, Item: Trike Red
Rear brake adjust repair loose handle bar give a general once over)",Quote,1,$0.00,$0.00,$0.00
7519,2020-08-08,210000000088,Adjust Rear *V-Brake*,Labour,1,$10.00,$10.00,$0.00
7519,2020-08-08,210000000000, (Adjust Bottom Bracket),Labour,1,$15.00,$15.00,$0.00
7519,2020-08-08,210000002668,PRIME SLD MAT RED L/XL,Product,1,$85.00,$85.00,$0.00
7520,2020-08-08,210000002823,Serfas RX Cruiser Saddle Lycra,Product,1,$70.00,$70.00,$0.00
7521,2020-08-08,210000003220,"EVO, Seatpost clamp, Steel, Black",Product,1,$6.00,$6.00,$0.00
7522,2020-08-08,210000003166,SWB RAPID ROB KG SBC 275x2.25W,Product,2,$37.00,$74.00,$0.00
7522,2020-08-08,210000000125,Install Tube,Labour,2,$10.00,$20.00,$0.00
7523,2020-08-08,210000001890,700 X 28-35 PV(48) TUBE,Product,1,$8.00,$8.00,$0.00
7524,2020-08-08,210000000000," (Work order #1822, Item: Panorama Fat White
Install shifter, grips, new brakes, once over, make tubeless)",Quote,1,$0.00,$0.00,$0.00
7524,2020-08-08,210000000363,SILVER TUNE UP,Labour,1,$70.00,$70.00,$0.00
7524,2020-08-08,210000000369,"Stan's No Tubes, Presta Valve, 44mm",Product,1,$26.00,$26.00,$0.00
7524,2020-08-08,210000000000, (MucOff Sealant),Labour,4,$5.00,$20.00,$0.00
7524,2020-08-08,210000002942,JAG BASIC LEX SHFT OUT BLK,Product,4,$1.00,$4.00,$0.00
7525,2020-08-08,210000003196,CLICK USB REAR LIGHT BLACK,Product,1,$30.00,$30.00,$0.00
7525,2020-08-08,210000003195,CLICK USB FRONT LIGHT BLACK,Product,1,$30.00,$30.00,$0.00
7526,2020-08-08,210000002973,SERFAS E-GEL CRUISER W/CUT OUT,Product,1,$60.00,$60.00,$0.00
7527,2020-08-08,210000003210,"EVOC, Seat Bag M, Seat Bag, 0.7L, Black",Product,1,$40.00,$40.00,$0.00
7528,2020-08-08,210000003168,SWB RAPID ROB KG SBC 26x2.10W,Product,2,$35.00,$70.00,$0.00
7528,2020-08-08,210000000124,Install Tire,Labour,2,$10.00,$20.00,$0.00
7529,2020-08-08,210000002878,"EVO, PK-1 Inner Tube Patch Kit (Tub 100)",Product,1,$5.00,$5.00,$0.00
7529,2020-08-08,210000003344,CRABRO SPEEDIER LVR BLK PKG(1),Product,1,$11.00,$11.00,$0.00
7531,2020-08-08,210000000576,DND BLACK XXL,Product,1,$34.99,$34.99,$0.00
7532,2020-08-08,210000000268,JAG SPT SLK SS SHFT SHIM,Product,1,$5.00,$5.00,$0.00
7533,2020-08-08,210000002634,ESI GRIPS CHUNKY YELLOW,Product,1,$27.00,$27.00,$0.00
7534,2020-08-08,210000003455,"EVO, Presta, Tube, Length: 48mm, 700C, 35-44C",Product,1,$9.00,$9.00,$0.00
7535,2020-08-08,210000003124,VITAMIN A BLUE L/20.5,Product,1,$650.00,$650.00,$0.00
7536,2020-08-08,210000002110,TIRE SEALANT / 2 FL OZ,Product,3,$5.00,$15.00,$0.00
7537,2020-08-08,210000003127,VITAMIN B RED L/20.5,Product,1,$750.00,$750.00,$0.00
7538,2020-08-08,210000000940,700 X 28-35 SV(35) TUBE,Product,1,$7.00,$7.00,$0.00
7538,2020-08-08,210000000125,Install Tube,Labour,1,$10.00,$10.00,$0.00
7538,2020-08-08,210000002109,RIM TAPE,Product,1,$5.00,$5.00,$0.00
7539,2020-08-08,210000001890,700 X 28-35 PV(48) TUBE,Product,2,$8.00,$16.00,$0.00
7539,2020-08-08,210000000469,"Muc-Off, Ceramic Dry Lubricant, 120ml with UV Torch",Product,1,$22.00,$22.00,$0.00
7539,2020-08-08,210000002706,PISTON 2 FLOOR PUMP MAT BLACK/CYAN 10PK,Product,1,$65.00,$65.00,$0.00
7540,2020-08-08,210000002808,SUNRACE TSM28 6SP TWISTSHFT RR,Product,1,$15.00,$15.00,$0.00
7540,2020-08-08,210000002923,SRAM MRX COMP GRIPSHIFT MIC FT,Product,1,$15.00,$15.00,$0.00
7541,2020-08-08,210000001888,49N DUAL POS. BAR ENDS - 175MM,Product,1,$30.00,$30.00,$3.00
7541,2020-08-08,210000000275,"49N ADJ STEM,1 1/8,31.8,95,BLK",Product,1,$38.00,$38.00,$3.80
7541,2020-08-08,210000003196,CLICK USB REAR LIGHT BLACK,Product,1,$30.00,$30.00,$3.00
7541,2020-08-08,210000002678,CENTRAL SLD MAT BLK L/XL,Product,1,$115.00,$115.00,$11.50
7542,2020-08-11,210000000000,26 X 1.50-1.75 (35) TUBE   ~,Labour,1,$7.00,$7.00,$0.00
7542,2020-08-11,210000000125,Install Tube,Labour,1,$10.00,$10.00,$0.00
7543,2020-08-11,210000002215,spoke,Product,2,$2.00,$4.00,$0.00
7544,2020-08-11,210000003141,"KMC, MissingLink, 6/7/8 speed IG,",Product,1,$8.00,$8.00,$0.00
7544,2020-08-11,210000003196,CLICK USB REAR LIGHT BLACK,Product,1,$30.00,$30.00,$0.00
7545,2020-08-11,210000000275,"49N ADJ STEM,1 1/8,31.8,95,BLK",Product,1,$38.00,$38.00,$0.00
7546,2020-08-11,210000000000," (Work order #1775, Item: Gary Fisher Red/Silver
Silver tune Install new grips Not holding air . Check tubes replace if needed

*chain and cassette completely worn out*
*front tube leaking, headset bearings needed to be replaced*
)",Quote,1,$0.00,$0.00,$0.00
7546,2020-08-11,210000002056,ESI GRIPS EXTRA CHUNKY BLACK,Product,1,$33.00,$33.00,$0.00
7546,2020-08-11,210000000363,SILVER TUNE UP,Labour,1,$70.00,$70.00,$0.00
7546,2020-08-11,210000000940,700 X 28-35 SV(35) TUBE,Product,1,$7.00,$7.00,$0.00
7546,2020-08-11,210000001894,SRAM PC850 CHAIN 8SPD,Product,1,$25.00,$25.00,$0.00
7546,2020-08-11,210000000000, (WHL MFG Headset Bearings),Labour,2,$5.00,$10.00,$0.00
7546,2020-08-11,210000000000, (Sram PG830 11/30 8SP Cassette),Labour,1,$27.99,$27.99,$0.00
7547,2020-08-11,210000000000," (Work order #1722, Item: Supercycle Vice Black
Silver tune

**rear wheel on backorder**)",Quote,1,$0.00,$0.00,$0.00
7547,2020-08-11,210000003241,"Wheel Shop, Alex DM18 Black/ Formula FM-31-QR, Wheel, Rear, 26'' / 559, Holes: 36, QR, 135mm, Rim, Freewheel",Product,1,$81.99,$81.99,$12.30
7547,2020-08-11,210000000363,SILVER TUNE UP,Labour,1,$70.00,$70.00,$0.00
7548,2020-08-11,210000000000, (700 x 18--25 PV Tube),Labour,1,$7.00,$7.00,$0.00
7548,2020-08-11,210000000125,Install Tube,Labour,1,$5.00,$5.00,$0.00
7550,2020-08-11,210000000125,Install Tube,Labour,1,$10.00,$10.00,$0.00
7550,2020-08-11,210000001991,"EVO, Presta valve adapter",Product,1,$2.00,$2.00,$0.00
7550,2020-08-11,210000003455,"EVO, Presta, Tube, Length: 48mm, 700C, 35-44C",Product,1,$9.00,$9.00,$0.00
7551,2020-08-11,210000002826,ELEMENTS RG MEN'S,Product,1,$40.00,$40.00,$0.00
7552,2020-08-11,210000000000," (Work order #1828, Item: Trek 520  Brown / 54cm / WTU213MW318D)",Quote,1,$0.00,$0.00,$0.00
7552,2020-08-11,210000000125,Install Tube,Labour,1,$10.00,$10.00,$0.00
7552,2020-08-11,210000000125,Install Tube,Labour,1,$10.00,$10.00,$0.00
7552,2020-08-11,210000001730,RANDONNEUR TECH 32 RG+,Product,2,$60.00,$120.00,$0.00
7552,2020-08-11,210000000000, (Clean Drivetrain),Labour,1,$30.00,$30.00,$0.00
7553,2020-08-11,210000004194,"Delta, Smart Phone Holder",Product,1,$36.00,$36.00,$0.00
7553,2020-08-11,210000003196,CLICK USB REAR LIGHT BLACK,Product,2,$30.00,$60.00,$0.00
7554,2020-08-12,210000000000," (Work order #1792, Item: Rocky Mountain Trailhead Yellow
Rear Brakes are squealing Creaking in the bottom bracket noticed on drive side more Repair seat post and install seat

*rim is contaminated, could only reduce squealing*
*bottom bracket is fine, lubed chain, creaking stopped*)",Quote,1,$0.00,$0.00,$0.00
7554,2020-08-12,210000002971,SERFAS HYBRID RX SADDLE-LYCRA,Product,1,$70.00,$70.00,$0.00
7554,2020-08-12,210000000088,Adjust Rear *V-Brake*,Labour,1,$10.00,$10.00,$0.00
7555,2020-08-12,210000000229,JAG MTN SPRT SLK SS BRK 100PCS,Product,2,$5.00,$10.00,$0.00
7556,2020-08-12,210000000211,49N DLX CORK BAR TAPE - BLACK,Product,1,$25.00,$25.00,$0.00
7557,2020-08-12,210000001659,TUBES 700 X 18-25 -PV 42MM,Product,2,$7.00,$14.00,$0.00
7559,2020-08-12,210000000000," (Work order #1795, Item: Norco VFR Grey
RWT

*cant fix new wheel on order*
*hanger was bent*)",Quote,1,$0.00,$0.00,$0.00
7559,2020-08-12,210000003242,"Wheel Shop, Evo Tour 19 Black/ Formula FM-31, Wheel, Rear, 700C / 622, Holes: 36, Bolt-on, 135mm, Rim, Freewheel",Product,1,$57.99,$57.99,$0.00
7559,2020-08-12,210000000125,Install Tube,Labour,1,$10.00,$10.00,$0.00
7559,2020-08-12,210000000099,Adjust Rear Derailleur,Labour,1,$15.00,$15.00,$0.00
7561,2020-08-12,210000000125,Install Tube,Labour,1,$5.00,$5.00,$0.00
7561,2020-08-12,210000000000, (26 x 2.0-2.4 PV),Labour,1,$7.00,$7.00,$0.00
7561,2020-08-12,210000001991,"EVO, Presta valve adapter",Product,1,$2.00,$2.00,$0.00
7562,2020-08-12,210000000469,"Muc-Off, Ceramic Dry Lubricant, 120ml with UV Torch",Product,1,$22.00,$22.00,$0.00
7563,2020-08-12,210000000000," (Work order #1811, Item: Raleigh 10 Speed Burgundy 
Loose rear hub

Called 08/12/20)",Quote,1,$0.00,$0.00,$0.00
7563,2020-08-12,210000000000, (Rear Hub Adjust),Labour,1,$15.00,$15.00,$0.00
7564,2020-08-12,210000000211,49N DLX CORK BAR TAPE - BLACK,Product,1,$25.00,$25.00,$0.00
7565,2020-08-12,210000003144,"OnGuard, Bulldog DT 8012, U-Lock, 13 mm x 115mm x 230mm / 10mm x 120cm (13mm x 4.5'' x 9'' / 10mm x 4')",Product,1,$60.00,$60.00,$0.00
7566,2020-08-12,210000000000," (Work order #1794, Item: Supercycle Red
Adjust brakes
)",Quote,1,$0.00,$0.00,$0.00
7566,2020-08-12,210000000087,Adjust Front *V-Brake*,Labour,1,$10.00,$10.00,$0.00
7566,2020-08-12,210000000088,Adjust Rear *V-Brake*,Labour,1,$10.00,$10.00,$0.00
7567,2020-08-12,210000000131,True Rear Wheel,Labour,1,$20.00,$20.00,$0.00
7568,2020-08-12,210000000000,26 X 1-1/4-1-3/8 SV(35) TUBE ~,Labour,1,$7.00,$7.00,$0.00
7568,2020-08-12,210000000125,Install Tube,Labour,1,$5.00,$5.00,$0.00
7569,2020-08-12,210000001795,"49N DLX SEATPOST, 30.9, 400MM",Product,1,$25.99,$25.99,$0.00
7570,2020-08-12,210000000000," (Work order #1796, Item: CCM White
Adjust front brake New Bottom Bracket)",Quote,1,$0.00,$0.00,$0.00
7570,2020-08-12,210000000242,JAG MTN SPRT V-BRK PADS set,Product,1,$8.00,$8.00,$0.00
7570,2020-08-12,210000000229,JAG MTN SPRT SLK SS BRK 100PCS,Product,1,$5.00,$5.00,$0.00
7570,2020-08-12,210000000231,JAG SPT CGX-SL BRK OUT 50M BLK,Product,2,$1.00,$2.00,$0.00
7570,2020-08-12,210000000383,"Jagwire, V-brake noodles, 90°, Bag of 10",Product,1,$5.00,$5.00,$0.00
7570,2020-08-12,210000000087,Adjust Front *V-Brake*,Labour,1,$10.00,$10.00,$0.00
